A,NINT,AC41,ED0-2,Y25-34,T,PC,PT	27.5 
A,NINT,AC41,ED0-2,Y25-34,T,PC,RO	25.0 
A,NINT,AC41,ED0-2,Y25-34,T,PC,SK	49.0 
A,NINT,AC41,ED0-2,Y25-34,T,PC,UK	24.0 
A,NINT,AC41,ED0-2,Y25-64,F,PC,AT	31.7 
A,NINT,AC41,ED0-2,Y25-64,F,PC,BE	26.4 
A,NINT,AC41,ED0-2,Y25-64,F,PC,BG	28.2 
A,NINT,AC41,ED0-2,Y25-64,F,PC,CY	25.4 
A,NINT,AC41,ED0-2,Y25-64,F,PC,CZ	50.4 
A,NINT,AC41,ED0-2,Y25-64,F,PC,DE	22.9 
A,NINT,AC41,ED0-2,Y25-64,F,PC,EE	19.9 
A,NINT,AC41,ED0-2,Y25-64,F,PC,EL	59.1 
A,NINT,AC41,ED0-2,Y25-64,F,PC,ES	15.9 
A,NINT,AC41,ED0-2,Y25-64,F,PC,FR	26.2 
A,NINT,AC41,ED0-2,Y25-64,F,PC,HR	10.6 
A,NINT,AC41,ED0-2,Y25-64,F,PC,HU	51.6 
A,NINT,AC41,ED0-2,Y25-64,F,PC,IE	20.0 
A,NINT,AC41,ED0-2,Y25-64,F,PC,IT	23.0 
A,NINT,AC41,ED0-2,Y25-64,F,PC,LT	14.3 
A,NINT,AC41,ED0-2,Y25-64,F,PC,LU	12.8 
A,NINT,AC41,ED0-2,Y25-64,F,PC,LV	35.1 
A,NINT,AC41,ED0-2,Y25-64,F,PC,MT	22.6 
A,NINT,AC41,ED0-2,Y25-64,F,PC,PL	32.3 
A,NINT,AC41,ED0-2,Y25-64,F,PC,PT	21.1 
A,NINT,AC41,ED0-2,Y25-64,F,PC,RO	28.2 
A,NINT,AC41,ED0-2,Y25-64,F,PC,SK	37.9 
A,NINT,AC41,ED0-2,Y25-64,F,PC,UK	19.1 
A,NINT,AC41,ED0-2,Y25-64,M,PC,AT	31.7 
A,NINT,AC41,ED0-2,Y25-64,M,PC,BE	22.5 
A,NINT,AC41,ED0-2,Y25-64,M,PC,BG	28.2 
A,NINT,AC41,ED0-2,Y25-64,M,PC,CY	32.6 
A,NINT,AC41,ED0-2,Y25-64,M,PC,CZ	47.3 
A,NINT,AC41,ED0-2,Y25-64,M,PC,DE	29.1 
A,NINT,AC41,ED0-2,Y25-64,M,PC,EE	28.9 
A,NINT,AC41,ED0-2,Y25-64,M,PC,EL	64.8 
A,NINT,AC41,ED0-2,Y25-64,M,PC,ES	19.8 
A,NINT,AC41,ED0-2,Y25-64,M,PC,FR	32.2 
A,NINT,AC41,ED0-2,Y25-64,M,PC,HR	11.9 
A,NINT,AC41,ED0-2,Y25-64,M,PC,HU	48.9 
A,NINT,AC41,ED0-2,Y25-64,M,PC,IE	21.0 
A,NINT,AC41,ED0-2,Y25-64,M,PC,IT	22.5 
A,NINT,AC41,ED0-2,Y25-64,M,PC,LT	37.6 
A,NINT,AC41,ED0-2,Y25-64,M,PC,LU	17.7 
A,NINT,AC41,ED0-2,Y25-64,M,PC,LV	35.9 
A,NINT,AC41,ED0-2,Y25-64,M,PC,MT	22.1 
A,NINT,AC41,ED0-2,Y25-64,M,PC,PL	36.1 
A,NINT,AC41,ED0-2,Y25-64,M,PC,PT	25.2 
A,NINT,AC41,ED0-2,Y25-64,M,PC,RO	27.8 
A,NINT,AC41,ED0-2,Y25-64,M,PC,SK	40.0 
A,NINT,AC41,ED0-2,Y25-64,M,PC,UK	25.6 
A,NINT,AC41,ED0-2,Y25-64,T,PC,AT	31.7 
A,NINT,AC41,ED0-2,Y25-64,T,PC,BE	24.4 
A,NINT,AC41,ED0-2,Y25-64,T,PC,BG	28.2 
A,NINT,AC41,ED0-2,Y25-64,T,PC,CY	29.1 
A,NINT,AC41,ED0-2,Y25-64,T,PC,CZ	49.3 
