freq,isced11,age,sex,unit,geo\TIME_PERIOD	2013 	2015 
A,ED0-2,Y16-29,M,PC,FR	93.6 u	91.4 u
A,ED0-2,Y16-29,M,PC,HR	83.9 u	98.0 
A,ED0-2,Y16-29,M,PC,HU	96.6 	98.6 
A,ED0-2,Y16-29,M,PC,IE	94.1 u	97.9 u
A,ED0-2,Y16-29,M,PC,IS	93.7 	96.4 
A,ED0-2,Y16-29,M,PC,IT	90.3 u	90.1 
A,ED0-2,Y16-29,M,PC,LT	95.6 u	98.2 
A,ED0-2,Y16-29,M,PC,LU	93.0 u	96.9 
A,ED0-2,Y16-29,M,PC,LV	90.5 	96.4 
A,ED0-2,Y16-29,M,PC,MK	: u	94.7 
A,ED0-2,Y16-29,M,PC,MT	91.0 u	96.6 
A,ED0-2,Y16-29,M,PC,NL	97.7 	96.2 
A,ED0-2,Y16-29,M,PC,NO	97.5 	96.5 
A,ED0-2,Y16-29,M,PC,PL	94.3 u	96.0 u
A,ED0-2,Y16-29,M,PC,PT	95.6 u	95.9 
A,ED0-2,Y16-29,M,PC,RO	91.0 	96.7 
A,ED0-2,Y16-29,M,PC,RS	96.8 u	97.4 
A,ED0-2,Y16-29,M,PC,SE	94.1 	95.9 
A,ED0-2,Y16-29,M,PC,SI	97.8 	99.4 
A,ED0-2,Y16-29,M,PC,SK	96.5 	98.7 
A,ED0-2,Y16-29,M,PC,UK	82.6 u	95.4 u
A,ED0-2,Y16-29,T,PC,AT	96.7 	97.8 
A,ED0-2,Y16-29,T,PC,BE	91.9 	93.3 
A,ED0-2,Y16-29,T,PC,BG	92.6 	95.6 
A,ED0-2,Y16-29,T,PC,CH	98.3 	96.0 
A,ED0-2,Y16-29,T,PC,CY	94.7 	98.4 
A,ED0-2,Y16-29,T,PC,CZ	93.8 u	98.8 
A,ED0-2,Y16-29,T,PC,DE	92.2 	97.1 
A,ED0-2,Y16-29,T,PC,DK	95.6 	96.4 
A,ED0-2,Y16-29,T,PC,EE	97.0 	97.7 
A,ED0-2,Y16-29,T,PC,EL	79.3 	96.4 
A,ED0-2,Y16-29,T,PC,ES	98.6 	98.4 
A,ED0-2,Y16-29,T,PC,EU27_2007	93.8 u	95.9 u
A,ED0-2,Y16-29,T,PC,EU27_2020	94.0 u	95.9 e
A,ED0-2,Y16-29,T,PC,EU28	93.7 u	95.9 u
A,ED0-2,Y16-29,T,PC,FI	98.4 	99.2 
A,ED0-2,Y16-29,T,PC,FR	94.0 u	94.9 u
A,ED0-2,Y16-29,T,PC,HR	90.2 u	98.2 
A,ED0-2,Y16-29,T,PC,HU	97.7 	99.0 
A,ED0-2,Y16-29,T,PC,IE	95.0 u	99.0 u
A,ED0-2,Y16-29,T,PC,IS	94.2 	97.0 
A,ED0-2,Y16-29,T,PC,IT	88.2 u	89.4 
A,ED0-2,Y16-29,T,PC,LT	96.3 u	98.5 
A,ED0-2,Y16-29,T,PC,LU	95.2 u	95.9 
A,ED0-2,Y16-29,T,PC,LV	92.7 	97.1 
A,ED0-2,Y16-29,T,PC,MK	: u	95.0 
A,ED0-2,Y16-29,T,PC,MT	93.3 u	96.8 
A,ED0-2,Y16-29,T,PC,NL	97.3 	95.0 
A,ED0-2,Y16-29,T,PC,NO	96.9 	97.6 
A,ED0-2,Y16-29,T,PC,PL	96.0 u	96.4 u
A,ED0-2,Y16-29,T,PC,PT	96.6 u	96.1 
A,ED0-2,Y16-29,T,PC,RO	90.9 	96.1 
A,ED0-2,Y16-29,T,PC,RS	96.0 u	97.3 
A,ED0-2,Y16-29,T,PC,SE	96.1 	96.7 
A,ED0-2,Y16-29,T,PC,SI	97.5 	99.4 
A,ED0-2,Y16-29,T,PC,SK	97.0 	98.7 
