freq,isced11,acl00,age,sex,unit,geo\TIME_PERIOD	2015 	2022 
A,ED0-2,AC41A,Y16-24,T,PC,CH	38.8 	24.7 
A,ED0-2,AC41A,Y16-24,T,PC,CY	5.9 	7.3 
A,ED0-2,AC41A,Y16-24,T,PC,CZ	13.5 	11.9 
A,ED0-2,AC41A,Y16-24,T,PC,DE	24.4 	: u
A,ED0-2,AC41A,Y16-24,T,PC,DK	33.7 	22.5 
A,ED0-2,AC41A,Y16-24,T,PC,EE	20.2 	13.3 
A,ED0-2,AC41A,Y16-24,T,PC,EL	11.5 	7.1 
A,ED0-2,AC41A,Y16-24,T,PC,ES	6.5 	7.6 
A,ED0-2,AC41A,Y16-24,T,PC,EU27_2007	17.2 e	: 
A,ED0-2,AC41A,Y16-24,T,PC,EU27_2020	17.3 e	11.5 u
A,ED0-2,AC41A,Y16-24,T,PC,EU28	17.2 e	: 
A,ED0-2,AC41A,Y16-24,T,PC,FI	27.5 	17.9 
A,ED0-2,AC41A,Y16-24,T,PC,FR	15.4 	13.8 
A,ED0-2,AC41A,Y16-24,T,PC,HR	13.9 	11.5 
A,ED0-2,AC41A,Y16-24,T,PC,HU	13.9 	15.8 
A,ED0-2,AC41A,Y16-24,T,PC,IE	23.5 u	21.5 
A,ED0-2,AC41A,Y16-24,T,PC,IS	30.2 	: 
A,ED0-2,AC41A,Y16-24,T,PC,IT	15.2 	4.8 
A,ED0-2,AC41A,Y16-24,T,PC,LT	12.8 	9.9 
A,ED0-2,AC41A,Y16-24,T,PC,LU	41.5 	33.3 
A,ED0-2,AC41A,Y16-24,T,PC,LV	6.4 	4.9 
A,ED0-2,AC41A,Y16-24,T,PC,ME	: 	2.7 
A,ED0-2,AC41A,Y16-24,T,PC,MK	8.6 	: 
A,ED0-2,AC41A,Y16-24,T,PC,MT	4.0 	2.8 
A,ED0-2,AC41A,Y16-24,T,PC,NL	40.3 	26.3 
A,ED0-2,AC41A,Y16-24,T,PC,NO	52.3 	45.7 
A,ED0-2,AC41A,Y16-24,T,PC,PL	17.8 u	7.3 
A,ED0-2,AC41A,Y16-24,T,PC,PT	10.6 	12.6 
A,ED0-2,AC41A,Y16-24,T,PC,RO	7.4 	8.9 
A,ED0-2,AC41A,Y16-24,T,PC,RS	9.6 	5.6 
A,ED0-2,AC41A,Y16-24,T,PC,SE	30.4 	17.2 
A,ED0-2,AC41A,Y16-24,T,PC,SI	32.1 	23.1 
A,ED0-2,AC41A,Y16-24,T,PC,SK	6.5 	10.7 
A,ED0-2,AC41A,Y16-24,T,PC,TR	: 	1.6 
A,ED0-2,AC41A,Y16-24,T,PC,UK	8.5 u	: 
A,ED0-2,AC41A,Y16-29,F,PC,AT	14.1 	: 
A,ED0-2,AC41A,Y16-29,F,PC,BE	16.6 	: 
A,ED0-2,AC41A,Y16-29,F,PC,BG	4.0 	: 
A,ED0-2,AC41A,Y16-29,F,PC,CH	33.0 	: 
A,ED0-2,AC41A,Y16-29,F,PC,CY	7.3 	: 
A,ED0-2,AC41A,Y16-29,F,PC,CZ	13.3 	: 
A,ED0-2,AC41A,Y16-29,F,PC,DE	22.6 	: 
A,ED0-2,AC41A,Y16-29,F,PC,DK	42.2 	: 
A,ED0-2,AC41A,Y16-29,F,PC,EE	20.9 	: 
A,ED0-2,AC41A,Y16-29,F,PC,EL	11.6 	: 
A,ED0-2,AC41A,Y16-29,F,PC,ES	8.7 	: 
A,ED0-2,AC41A,Y16-29,F,PC,EU27_2007	16.7 e	: 
A,ED0-2,AC41A,Y16-29,F,PC,EU27_2020	16.8 e	: 
A,ED0-2,AC41A,Y16-29,F,PC,EU28	16.6 e	: 
A,ED0-2,AC41A,Y16-29,F,PC,FI	33.3 	: 
A,ED0-2,AC41A,Y16-29,F,PC,FR	14.9 	: 
A,ED0-2,AC41A,Y16-29,F,PC,HR	14.2 	: 
A,ED0-2,AC41A,Y16-29,F,PC,HU	13.1 	: 
A,ED0-2,AC41A,Y16-29,F,PC,IE	13.8 u	: 
A,ED0-2,AC41A,Y16-29,F,PC,IS	26.9 	: 
A,ED0-2,AC41A,Y16-29,F,PC,IT	15.3 	: 
A,ED0-2,AC41A,Y16-29,F,PC,LT	16.7 	: 
A,ED0-2,AC41A,Y16-29,F,PC,LU	34.0 	: 
A,ED0-2,AC41A,Y16-29,F,PC,LV	7.9 	: 
A,ED0-2,AC41A,Y16-29,F,PC,MK	6.3 	: 
A,ED0-2,AC41A,Y16-29,F,PC,MT	2.2 	: 
A,ED0-2,AC41A,Y16-29,F,PC,NL	50.6 	: 
A,ED0-2,AC41A,Y16-29,F,PC,NO	53.6 	: 
A,ED0-2,AC41A,Y16-29,F,PC,PL	18.7 u	: 
A,ED0-2,AC41A,Y16-29,F,PC,PT	9.3 	: 
A,ED0-2,AC41A,Y16-29,F,PC,RO	7.8 	: 
A,ED0-2,AC41A,Y16-29,F,PC,RS	10.2 	: 
A,ED0-2,AC41A,Y16-29,F,PC,SE	27.2 	: 
A,ED0-2,AC41A,Y16-29,F,PC,SI	30.5 	: 
A,ED0-2,AC41A,Y16-29,F,PC,SK	6.2 	: 
A,ED0-2,AC41A,Y16-29,F,PC,UK	12.8 u	: 
A,ED0-2,AC41A,Y16-29,M,PC,AT	24.3 	: 
A,ED0-2,AC41A,Y16-29,M,PC,BE	18.0 	: 
A,ED0-2,AC41A,Y16-29,M,PC,BG	4.3 	: 
A,ED0-2,AC41A,Y16-29,M,PC,CH	36.1 	: 
A,ED0-2,AC41A,Y16-29,M,PC,CY	2.3 	: 
A,ED0-2,AC41A,Y16-29,M,PC,CZ	11.6 	: 
A,ED0-2,AC41A,Y16-29,M,PC,DE	22.1 	: 
A,ED0-2,AC41A,Y16-29,M,PC,DK	28.6 	: 
A,ED0-2,AC41A,Y16-29,M,PC,EE	16.5 	: 
A,ED0-2,AC41A,Y16-29,M,PC,EL	9.6 	: 
A,ED0-2,AC41A,Y16-29,M,PC,ES	5.0 	: 
A,ED0-2,AC41A,Y16-29,M,PC,EU27_2007	14.2 e	: 
A,ED0-2,AC41A,Y16-29,M,PC,EU27_2020	14.4 e	: 
A,ED0-2,AC41A,Y16-29,M,PC,EU28	14.2 e	: 
A,ED0-2,AC41A,Y16-29,M,PC,FI	22.6 	: 
A,ED0-2,AC41A,Y16-29,M,PC,FR	15.5 	: 
A,ED0-2,AC41A,Y16-29,M,PC,HR	11.3 	: 
A,ED0-2,AC41A,Y16-29,M,PC,HU	10.5 	: 
A,ED0-2,AC41A,Y16-29,M,PC,IE	26.6 u	: 
A,ED0-2,AC41A,Y16-29,M,PC,IS	31.0 	: 
A,ED0-2,AC41A,Y16-29,M,PC,IT	10.1 	: 
A,ED0-2,AC41A,Y16-29,M,PC,LT	7.5 	: 
A,ED0-2,AC41A,Y16-29,M,PC,LU	40.3 	: 
A,ED0-2,AC41A,Y16-29,M,PC,LV	5.4 	: 
A,ED0-2,AC41A,Y16-29,M,PC,MK	9.6 	: 
A,ED0-2,AC41A,Y16-29,M,PC,MT	3.8 	: 
A,ED0-2,AC41A,Y16-29,M,PC,NL	26.6 	: 
A,ED0-2,AC41A,Y16-29,M,PC,NO	42.5 	: 
A,ED0-2,AC41A,Y16-29,M,PC,PL	15.1 u	: 
A,ED0-2,AC41A,Y16-29,M,PC,PT	9.0 	: 
A,ED0-2,AC41A,Y16-29,M,PC,RO	4.8 	: 
A,ED0-2,AC41A,Y16-29,M,PC,RS	6.5 	: 
A,ED0-2,AC41A,Y16-29,M,PC,SE	29.4 	: 
A,ED0-2,AC41A,Y16-29,M,PC,SI	28.4 	: 
A,ED0-2,AC41A,Y16-29,M,PC,SK	7.0 	: 
A,ED0-2,AC41A,Y16-29,M,PC,UK	6.6 u	: 
A,ED0-2,AC41A,Y16-29,T,PC,AT	19.5 	: 
A,ED0-2,AC41A,Y16-29,T,PC,BE	17.3 	: 
A,ED0-2,AC41A,Y16-29,T,PC,BG	4.1 	: 
A,ED0-2,AC41A,Y16-29,T,PC,CH	34.5 	: 
A,ED0-2,AC41A,Y16-29,T,PC,CY	4.6 	: 
A,ED0-2,AC41A,Y16-29,T,PC,CZ	12.4 	: 
A,ED0-2,AC41A,Y16-29,T,PC,DE	22.3 	: 
A,ED0-2,AC41A,Y16-29,T,PC,DK	34.0 	: 
A,ED0-2,AC41A,Y16-29,T,PC,EE	18.4 	: 
A,ED0-2,AC41A,Y16-29,T,PC,EL	10.5 	: 
A,ED0-2,AC41A,Y16-29,T,PC,ES	6.6 	: 
A,ED0-2,AC41A,Y16-29,T,PC,EU27_2007	15.3 e	: 
A,ED0-2,AC41A,Y16-29,T,PC,EU27_2020	15.5 e	: 
A,ED0-2,AC41A,Y16-29,T,PC,EU28	15.3 e	: 
A,ED0-2,AC41A,Y16-29,T,PC,FI	27.9 	: 
A,ED0-2,AC41A,Y16-29,T,PC,FR	15.2 	: 
A,ED0-2,AC41A,Y16-29,T,PC,HR	12.7 	: 
A,ED0-2,AC41A,Y16-29,T,PC,HU	11.8 	: 
A,ED0-2,AC41A,Y16-29,T,PC,IE	20.2 u	: 
A,ED0-2,AC41A,Y16-29,T,PC,IS	29.2 	: 
A,ED0-2,AC41A,Y16-29,T,PC,IT	12.4 	: 
A,ED0-2,AC41A,Y16-29,T,PC,LT	11.6 	: 
A,ED0-2,AC41A,Y16-29,T,PC,LU	37.5 	: 
A,ED0-2,AC41A,Y16-29,T,PC,LV	6.5 	: 
A,ED0-2,AC41A,Y16-29,T,PC,MK	7.8 	: 
A,ED0-2,AC41A,Y16-29,T,PC,MT	3.2 	: 
A,ED0-2,AC41A,Y16-29,T,PC,NL	38.3 	: 
A,ED0-2,AC41A,Y16-29,T,PC,NO	47.3 	: 
A,ED0-2,AC41A,Y16-29,T,PC,PL	16.6 u	: 
A,ED0-2,AC41A,Y16-29,T,PC,PT	9.1 	: 
A,ED0-2,AC41A,Y16-29,T,PC,RO	6.2 	: 
A,ED0-2,AC41A,Y16-29,T,PC,RS	8.2 	: 
A,ED0-2,AC41A,Y16-29,T,PC,SE	28.3 	: 
A,ED0-2,AC41A,Y16-29,T,PC,SI	29.3 	: 
A,ED0-2,AC41A,Y16-29,T,PC,SK	6.6 	: 
A,ED0-2,AC41A,Y16-29,T,PC,UK	9.8 u	: 
A,ED0-2,AC41A,Y25-34,F,PC,AT	7.1 	8.3 u
A,ED0-2,AC41A,Y25-34,F,PC,BE	3.4 	1.1 
A,ED0-2,AC41A,Y25-34,F,PC,BG	2.3 	0.4 
A,ED0-2,AC41A,Y25-34,F,PC,CH	8.9 	4.0 u
A,ED0-2,AC41A,Y25-34,F,PC,CY	0.0 	2.5 u
A,ED0-2,AC41A,Y25-34,F,PC,CZ	0 u	5.2 
A,ED0-2,AC41A,Y25-34,F,PC,DE	9.6 	: u
A,ED0-2,AC41A,Y25-34,F,PC,DK	: u	4.9 u
A,ED0-2,AC41A,Y25-34,F,PC,EE	7.8 	6.9 
A,ED0-2,AC41A,Y25-34,F,PC,EL	2.9 	1.7 u
A,ED0-2,AC41A,Y25-34,F,PC,ES	6.6 	5.2 
A,ED0-2,AC41A,Y25-34,F,PC,EU27_2007	7.5 u	: 
