freq,unit,isced11,indic_wb,sex,age,geo\TIME_PERIOD	2013 	2014 	2015 
A,RTG,ED0-2,LEGTST,F,Y35-49,SK	2.2 u	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,TR	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y35-49,UK	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,AT	5.2 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,BE	4.3 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,BG	2.9 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,CH	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,CY	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,CZ	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,DE	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,DK	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,EA20	: 	3.7 e	3.7 e
A,RTG,ED0-2,LEGTST,F,Y50-64,EE	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,EL	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,ES	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,EU	: u	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,EU27_2020	: u	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,EU28	: u	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,FI	6.7 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,FR	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,HR	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,HU	4.9 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,IE	4.4 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,IS	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,IT	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,LT	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,LU	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,LV	4.3 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,ME	3.8 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,MK	4.0 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,MT	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,NL	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,NO	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,PL	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,PT	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,RO	5.6 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,RS	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,SE	6.0 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,SI	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,SK	3.4 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,TR	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y50-64,UK	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,AT	5.5 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,BE	4.7 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,BG	2.9 	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,CH	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,CY	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,CZ	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,DE	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,DK	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,EA20	: 	3.9 e	3.9 e
A,RTG,ED0-2,LEGTST,F,Y65-74,EE	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,EL	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,ES	: z	: 	: 
A,RTG,ED0-2,LEGTST,F,Y65-74,EU	: u	: 	: 
