A,GE1,DEG1,A1,QUINTILE4,PC,DE	89.1 	87.9 
A,GE1,DEG1,A1,QUINTILE4,PC,DK	91.7 	91.9 
A,GE1,DEG1,A1,QUINTILE4,PC,EE	85.4 u	85.6 u
A,GE1,DEG1,A1,QUINTILE4,PC,EL	64.9 	57.5 
A,GE1,DEG1,A1,QUINTILE4,PC,ES	84.4 	72.0 
A,GE1,DEG1,A1,QUINTILE4,PC,EU27_2007	: 	77.2 e
A,GE1,DEG1,A1,QUINTILE4,PC,EU27_2020	: 	77.0 e
A,GE1,DEG1,A1,QUINTILE4,PC,EU28	: 	77.2 e
A,GE1,DEG1,A1,QUINTILE4,PC,FI	96.9 	97.0 
A,GE1,DEG1,A1,QUINTILE4,PC,FR	84.7 	83.7 
A,GE1,DEG1,A1,QUINTILE4,PC,HR	: 	68.0 
A,GE1,DEG1,A1,QUINTILE4,PC,HU	67.9 	72.1 
A,GE1,DEG1,A1,QUINTILE4,PC,IE	89.8 	80.7 
A,GE1,DEG1,A1,QUINTILE4,PC,IS	85.2 u	94.0 u
A,GE1,DEG1,A1,QUINTILE4,PC,IT	61.5 	58.3 
A,GE1,DEG1,A1,QUINTILE4,PC,LT	78.9 	82.0 
A,GE1,DEG1,A1,QUINTILE4,PC,LU	78.1 	93.1 u
A,GE1,DEG1,A1,QUINTILE4,PC,LV	75.7 	84.8 
A,GE1,DEG1,A1,QUINTILE4,PC,MT	47.8 u	74.9 
A,GE1,DEG1,A1,QUINTILE4,PC,NL	85.9 	94.6 
A,GE1,DEG1,A1,QUINTILE4,PC,NO	95.6 	87.0 
A,GE1,DEG1,A1,QUINTILE4,PC,PL	51.8 	66.9 
A,GE1,DEG1,A1,QUINTILE4,PC,PT	67.9 u	58.0 
A,GE1,DEG1,A1,QUINTILE4,PC,RO	: 	31.2 
A,GE1,DEG1,A1,QUINTILE4,PC,RS	: 	46.7 
A,GE1,DEG1,A1,QUINTILE4,PC,SE	89.5 	96.3 
A,GE1,DEG1,A1,QUINTILE4,PC,SI	80.6 u	81.8 u
A,GE1,DEG1,A1,QUINTILE4,PC,SK	94.6 u	72.9 u
A,GE1,DEG1,A1,QUINTILE4,PC,UK	84.1 	77.9 
A,GE1,DEG1,A1,QUINTILE5,PC,AT	87.7 	89.7 
A,GE1,DEG1,A1,QUINTILE5,PC,BE	96.1 	94.7 
A,GE1,DEG1,A1,QUINTILE5,PC,BG	82.5 u	74.7 
A,GE1,DEG1,A1,QUINTILE5,PC,CH	: 	98.8 
A,GE1,DEG1,A1,QUINTILE5,PC,CY	89.9 	81.0 
A,GE1,DEG1,A1,QUINTILE5,PC,CZ	90.4 	94.5 
A,GE1,DEG1,A1,QUINTILE5,PC,DE	93.9 	92.2 
A,GE1,DEG1,A1,QUINTILE5,PC,DK	91.8 	94.7 
A,GE1,DEG1,A1,QUINTILE5,PC,EE	100.0 u	94.0 
A,GE1,DEG1,A1,QUINTILE5,PC,EL	83.8 	72.6 
A,GE1,DEG1,A1,QUINTILE5,PC,ES	90.8 	84.7 
A,GE1,DEG1,A1,QUINTILE5,PC,EU27_2007	: 	86.7 e
A,GE1,DEG1,A1,QUINTILE5,PC,EU27_2020	: 	86.2 e
A,GE1,DEG1,A1,QUINTILE5,PC,EU28	: 	86.7 e
A,GE1,DEG1,A1,QUINTILE5,PC,FI	96.8 	96.7 
A,GE1,DEG1,A1,QUINTILE5,PC,FR	88.5 	88.4 
A,GE1,DEG1,A1,QUINTILE5,PC,HR	: 	84.1 
A,GE1,DEG1,A1,QUINTILE5,PC,HU	90.3 	89.5 
A,GE1,DEG1,A1,QUINTILE5,PC,IE	94.7 	96.6 
A,GE1,DEG1,A1,QUINTILE5,PC,IS	97.4 u	85.5 u
A,GE1,DEG1,A1,QUINTILE5,PC,IT	77.1 	71.4 
A,GE1,DEG1,A1,QUINTILE5,PC,LT	91.9 	83.3 
A,GE1,DEG1,A1,QUINTILE5,PC,LU	90.2 	97.7 u
A,GE1,DEG1,A1,QUINTILE5,PC,LV	89.0 u	93.5 
A,GE1,DEG1,A1,QUINTILE5,PC,MT	74.5 u	79.0 
A,GE1,DEG1,A1,QUINTILE5,PC,NL	89.7 	95.4 
A,GE1,DEG1,A1,QUINTILE5,PC,NO	92.1 	88.6 
A,GE1,DEG1,A1,QUINTILE5,PC,PL	78.5 	89.4 
A,GE1,DEG1,A1,QUINTILE5,PC,PT	83.3 u	84.0 
A,GE1,DEG1,A1,QUINTILE5,PC,RO	: 	60.7 
A,GE1,DEG1,A1,QUINTILE5,PC,RS	: 	67.6 
A,GE1,DEG1,A1,QUINTILE5,PC,SE	96.8 	94.4 
A,GE1,DEG1,A1,QUINTILE5,PC,SI	86.4 u	91.7 
A,GE1,DEG1,A1,QUINTILE5,PC,SK	88.0 u	89.2 u
A,GE1,DEG1,A1,QUINTILE5,PC,UK	93.6 	92.2 
A,GE1,DEG1,A1,TOTAL,PC,AT	73.7 	78.0 
A,GE1,DEG1,A1,TOTAL,PC,BE	67.2 	62.0 
A,GE1,DEG1,A1,TOTAL,PC,BG	37.1 	36.8 
A,GE1,DEG1,A1,TOTAL,PC,CH	: 	87.4 
A,GE1,DEG1,A1,TOTAL,PC,CY	44.2 	57.7 
A,GE1,DEG1,A1,TOTAL,PC,CZ	63.0 	71.2 
A,GE1,DEG1,A1,TOTAL,PC,DE	81.5 	74.0 
A,GE1,DEG1,A1,TOTAL,PC,DK	84.3 	88.0 
A,GE1,DEG1,A1,TOTAL,PC,EE	61.9 	69.9 
A,GE1,DEG1,A1,TOTAL,PC,EL	55.6 	55.5 
A,GE1,DEG1,A1,TOTAL,PC,ES	68.3 	62.4 
A,GE1,DEG1,A1,TOTAL,PC,EU27_2007	: 	67.5 
A,GE1,DEG1,A1,TOTAL,PC,EU27_2020	: 	68.1 e
A,GE1,DEG1,A1,TOTAL,PC,EU28	: 	67.4 
A,GE1,DEG1,A1,TOTAL,PC,FI	85.5 	85.0 
A,GE1,DEG1,A1,TOTAL,PC,FR	72.3 	75.9 
A,GE1,DEG1,A1,TOTAL,PC,HR	: 	47.2 
A,GE1,DEG1,A1,TOTAL,PC,HU	55.1 	61.0 
A,GE1,DEG1,A1,TOTAL,PC,IE	70.4 	73.3 
A,GE1,DEG1,A1,TOTAL,PC,IS	79.9 	83.7 
A,GE1,DEG1,A1,TOTAL,PC,IT	47.6 	47.8 
A,GE1,DEG1,A1,TOTAL,PC,LT	53.5 	48.5 
A,GE1,DEG1,A1,TOTAL,PC,LU	73.7 	81.5 
A,GE1,DEG1,A1,TOTAL,PC,LV	42.1 	53.6 
A,GE1,DEG1,A1,TOTAL,PC,MT	31.9 	41.7 
A,GE1,DEG1,A1,TOTAL,PC,NL	76.7 	84.6 
A,GE1,DEG1,A1,TOTAL,PC,NO	83.9 	79.1 
A,GE1,DEG1,A1,TOTAL,PC,PL	52.4 	61.8 
A,GE1,DEG1,A1,TOTAL,PC,PT	51.1 	52.5 
A,GE1,DEG1,A1,TOTAL,PC,RO	: 	29.3 
A,GE1,DEG1,A1,TOTAL,PC,RS	: 	39.0 
A,GE1,DEG1,A1,TOTAL,PC,SE	80.9 	86.5 
A,GE1,DEG1,A1,TOTAL,PC,SI	58.1 	64.2 
A,GE1,DEG1,A1,TOTAL,PC,SK	57.2 	65.9 
A,GE1,DEG1,A1,TOTAL,PC,UK	69.4 	62.8 
A,GE1,DEG1,A2,QUINTILE1,PC,AT	40.1 	57.1 
A,GE1,DEG1,A2,QUINTILE1,PC,BE	45.3 	43.1 
A,GE1,DEG1,A2,QUINTILE1,PC,BG	13.0 	10.7 
A,GE1,DEG1,A2,QUINTILE1,PC,CH	: 	81.2 
A,GE1,DEG1,A2,QUINTILE1,PC,CY	19.9 	24.5 
A,GE1,DEG1,A2,QUINTILE1,PC,CZ	39.4 	55.8 
A,GE1,DEG1,A2,QUINTILE1,PC,DE	66.1 	58.7 
A,GE1,DEG1,A2,QUINTILE1,PC,DK	82.7 	91.4 
A,GE1,DEG1,A2,QUINTILE1,PC,EE	29.0 	55.2 
A,GE1,DEG1,A2,QUINTILE1,PC,EL	25.8 	39.2 
A,GE1,DEG1,A2,QUINTILE1,PC,ES	37.3 	40.7 
A,GE1,DEG1,A2,QUINTILE1,PC,EU27_2007	: 	54.2 e
A,GE1,DEG1,A2,QUINTILE1,PC,EU27_2020	: 	52.9 e
A,GE1,DEG1,A2,QUINTILE1,PC,EU28	: 	54.0 e
A,GE1,DEG1,A2,QUINTILE1,PC,FI	83.7 	88.9 
A,GE1,DEG1,A2,QUINTILE1,PC,FR	56.5 	71.0 
A,GE1,DEG1,A2,QUINTILE1,PC,HR	: 	17.5 
A,GE1,DEG1,A2,QUINTILE1,PC,HU	48.2 	52.1 
A,GE1,DEG1,A2,QUINTILE1,PC,IE	41.8 	59.6 
A,GE1,DEG1,A2,QUINTILE1,PC,IS	83.7 	93.3 
A,GE1,DEG1,A2,QUINTILE1,PC,IT	22.7 	26.9 
