freq,acl00,quantile,deg_urb,hhtyp,unit,geo\TIME_PERIOD	2015 
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,EU27_2020	: u
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,EU28	: u
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,FI	: u
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,FR	23.2 
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,HR	2.0 
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,HU	0 u
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,IE	13.2 u
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,IS	: u
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,IT	7.3 
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,LT	: u
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,LU	: u
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,LV	0.0 
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,MT	1.7 
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,NL	: u
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,NO	: u
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,PL	0 u
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,PT	3.9 
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,RO	: u
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,RS	9.3 
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,SE	: u
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,SI	15.0 u
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,SK	3.2 u
A,AC41A,QUINTILE1,DEG1,A_GE3,PC,UK	27.2 u
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,AT	14.5 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,BE	8.9 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,BG	6.3 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,CH	24.3 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,CY	2.0 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,CZ	5.4 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,DE	13.8 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,DK	32.9 u
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,EE	15.7 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,EL	6.8 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,ES	6.0 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,EU27_2007	10.6 e
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,EU27_2020	10.6 e
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,EU28	10.5 e
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,FI	22.4 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,FR	11.5 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,HR	2.2 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,HU	8.4 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,IE	20.4 u
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,IS	19.2 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,IT	7.9 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,LT	13.8 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,LU	13.3 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,LV	4.2 
A,AC41A,QUINTILE1,DEG1,HH_DCH,PC,MT	5.1 
