freq,isced11,age,sex,unit,geo\TIME_PERIOD	2013 	2015 	2022 
A,ED0-2,Y25-34,M,PC,EU27_2007	89.8 u	90.7 e	: 
A,ED0-2,Y25-34,M,PC,EU27_2020	89.9 u	91.5 e	78.4 u
A,ED0-2,Y25-34,M,PC,EU28	89.8 u	90.7 e	: 
A,ED0-2,Y25-34,M,PC,FI	100.0 	100.0 	93.0 u
A,ED0-2,Y25-34,M,PC,FR	93.7 u	92.4 	83.7 u
A,ED0-2,Y25-34,M,PC,HR	80.5 u	88.9 	: u
A,ED0-2,Y25-34,M,PC,HU	96.3 	96.2 	89.4 u
A,ED0-2,Y25-34,M,PC,IE	97.2 u	100.0 u	: u
A,ED0-2,Y25-34,M,PC,IS	96.7 	91.0 	: 
A,ED0-2,Y25-34,M,PC,IT	77.9 u	85.2 	70.0 
A,ED0-2,Y25-34,M,PC,LT	96.0 u	98.7 u	: u
A,ED0-2,Y25-34,M,PC,LU	83.4 u	83.5 	99.5 u
A,ED0-2,Y25-34,M,PC,LV	89.6 	87.6 	: u
A,ED0-2,Y25-34,M,PC,ME	: 	: 	63.3 u
A,ED0-2,Y25-34,M,PC,MK	: u	91.4 	: 
