freq,frequenc,ind_type,isced11,age,sex,unit,geo\TIME_PERIOD	2015 	2022 
A,1M,FAM,ED0-2,Y16-24,T,PC,FR	11.2 	16.1 
A,1M,FAM,ED0-2,Y16-24,T,PC,HR	13.5 	8.6 
A,1M,FAM,ED0-2,Y16-24,T,PC,HU	17.6 	10.9 
A,1M,FAM,ED0-2,Y16-24,T,PC,IE	11.6 u	16.9 
A,1M,FAM,ED0-2,Y16-24,T,PC,IS	14.6 	: 
A,1M,FAM,ED0-2,Y16-24,T,PC,IT	9.9 	8.9 
A,1M,FAM,ED0-2,Y16-24,T,PC,LT	22.7 	13.3 
A,1M,FAM,ED0-2,Y16-24,T,PC,LU	12.7 	11.6 
A,1M,FAM,ED0-2,Y16-24,T,PC,LV	19.2 	24.8 
A,1M,FAM,ED0-2,Y16-24,T,PC,ME	9.7 	10.3 
A,1M,FAM,ED0-2,Y16-24,T,PC,MK	1.7 	: 
A,1M,FAM,ED0-2,Y16-24,T,PC,MT	6.3 	7.5 
A,1M,FAM,ED0-2,Y16-24,T,PC,NL	9.4 	15.1 
A,1M,FAM,ED0-2,Y16-24,T,PC,NO	18.4 	20.4 
A,1M,FAM,ED0-2,Y16-24,T,PC,PL	21.0 u	13.9 
A,1M,FAM,ED0-2,Y16-24,T,PC,PT	8.4 	9.1 
A,1M,FAM,ED0-2,Y16-24,T,PC,RO	8.4 	6.7 
A,1M,FAM,ED0-2,Y16-24,T,PC,RS	15.7 	14.5 
A,1M,FAM,ED0-2,Y16-24,T,PC,SE	20.3 	23.7 
A,1M,FAM,ED0-2,Y16-24,T,PC,SI	18.0 	18.0 
A,1M,FAM,ED0-2,Y16-24,T,PC,SK	10.9 	6.8 
A,1M,FAM,ED0-2,Y16-24,T,PC,TR	: 	14.4 
A,1M,FAM,ED0-2,Y16-24,T,PC,UK	10.6 u	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,AT	23.9 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,BE	8.4 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,BG	16.3 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,CH	17.1 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,CY	2.5 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,CZ	9.5 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,DE	12.3 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,DK	20.6 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,EE	25.3 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,EL	7.0 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,ES	8.9 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,EU27_2007	11.7 e	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,EU27_2020	11.9 e	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,EU28	11.7 e	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,FI	12.2 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,FR	10.0 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,HR	15.3 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,HU	14.2 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,IE	7.6 u	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,IS	13.6 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,IT	9.2 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,LT	27.8 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,LU	12.1 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,LV	19.9 	: 
A,1M,FAM,ED0-2,Y16-29,F,PC,MK	1.2 	: 
