A,GE1,ED0-2,Y16-24,F,PC,EL	80.2 	70.1 	65.0 
A,GE1,ED0-2,Y16-24,F,PC,ES	83.4 	74.2 	78.8 
A,GE1,ED0-2,Y16-24,F,PC,EU27_2007	: 	82.1 	: 
A,GE1,ED0-2,Y16-24,F,PC,EU27_2020	: 	82.5 e	: 
A,GE1,ED0-2,Y16-24,F,PC,EU28	: 	82.1 	: 
A,GE1,ED0-2,Y16-24,F,PC,FI	93.2 	97.2 	81.4 
A,GE1,ED0-2,Y16-24,F,PC,FR	91.5 	91.0 	80.7 
A,GE1,ED0-2,Y16-24,F,PC,HR	: 	80.7 	76.9 
A,GE1,ED0-2,Y16-24,F,PC,HU	81.0 	73.4 	64.9 
A,GE1,ED0-2,Y16-24,F,PC,IE	77.7 u	84.5 	85.0 
A,GE1,ED0-2,Y16-24,F,PC,IS	100.0 	95.3 	: 
A,GE1,ED0-2,Y16-24,F,PC,IT	80.4 	75.5 	59.1 
A,GE1,ED0-2,Y16-24,F,PC,LT	89.2 	88.8 	68.1 
A,GE1,ED0-2,Y16-24,F,PC,LU	94.3 	91.9 	82.4 
A,GE1,ED0-2,Y16-24,F,PC,LV	79.8 	84.4 	69.2 
A,GE1,ED0-2,Y16-24,F,PC,ME	: 	: 	48.4 
A,GE1,ED0-2,Y16-24,F,PC,MK	: 	31.7 	: 
A,GE1,ED0-2,Y16-24,F,PC,MT	72.0 	63.2 	44.2 u
A,GE1,ED0-2,Y16-24,F,PC,NL	88.2 	92.3 	86.5 
A,GE1,ED0-2,Y16-24,F,PC,NO	94.6 	97.4 	90.7 
A,GE1,ED0-2,Y16-24,F,PC,PL	87.9 	87.2 	87.7 
A,GE1,ED0-2,Y16-24,F,PC,PT	85.2 	84.7 	84.2 
A,GE1,ED0-2,Y16-24,F,PC,RO	: 	40.2 	31.3 
A,GE1,ED0-2,Y16-24,F,PC,RS	: 	59.8 	70.8 
A,GE1,ED0-2,Y16-24,F,PC,SE	95.4 	95.1 	86.4 
A,GE1,ED0-2,Y16-24,F,PC,SI	93.0 	90.7 	75.0 
A,GE1,ED0-2,Y16-24,F,PC,SK	94.5 	84.7 	67.9 
A,GE1,ED0-2,Y16-24,F,PC,TR	: 	: 	28.1 
A,GE1,ED0-2,Y16-24,F,PC,UK	77.1 	63.7 	: 
A,GE1,ED0-2,Y16-24,M,PC,AT	91.7 	89.9 	80.8 
A,GE1,ED0-2,Y16-24,M,PC,BE	89.9 	86.4 	78.5 
A,GE1,ED0-2,Y16-24,M,PC,BG	52.5 	52.8 	21.2 
A,GE1,ED0-2,Y16-24,M,PC,CH	: 	96.7 	97.1 
A,GE1,ED0-2,Y16-24,M,PC,CY	88.3 	82.4 	78.8 
A,GE1,ED0-2,Y16-24,M,PC,CZ	86.8 	92.3 	83.5 
A,GE1,ED0-2,Y16-24,M,PC,DE	93.5 	86.3 	: u
A,GE1,ED0-2,Y16-24,M,PC,DK	97.3 	96.9 	87.9 
A,GE1,ED0-2,Y16-24,M,PC,EE	87.4 	90.1 	82.7 
A,GE1,ED0-2,Y16-24,M,PC,EL	80.2 	74.8 	68.0 
A,GE1,ED0-2,Y16-24,M,PC,ES	89.3 	78.8 	81.6 
A,GE1,ED0-2,Y16-24,M,PC,EU27_2007	: 	82.1 e	: 
A,GE1,ED0-2,Y16-24,M,PC,EU27_2020	: 	82.1 e	: 
A,GE1,ED0-2,Y16-24,M,PC,EU28	: 	82.1 e	: 
A,GE1,ED0-2,Y16-24,M,PC,FI	94.1 	94.3 	72.4 
A,GE1,ED0-2,Y16-24,M,PC,FR	93.4 	91.0 	77.8 
A,GE1,ED0-2,Y16-24,M,PC,HR	: 	80.7 	83.1 
A,GE1,ED0-2,Y16-24,M,PC,HU	81.2 	73.6 	68.9 
A,GE1,ED0-2,Y16-24,M,PC,IE	88.0 	95.6 	77.7 
A,GE1,ED0-2,Y16-24,M,PC,IS	98.5 	98.7 	: 
A,GE1,ED0-2,Y16-24,M,PC,IT	88.3 	71.8 	70.6 
A,GE1,ED0-2,Y16-24,M,PC,LT	87.0 	92.7 	73.3 
A,GE1,ED0-2,Y16-24,M,PC,LU	94.4 	95.5 	96.1 
A,GE1,ED0-2,Y16-24,M,PC,LV	84.8 	87.3 	53.5 
A,GE1,ED0-2,Y16-24,M,PC,ME	: 	: 	59.7 
A,GE1,ED0-2,Y16-24,M,PC,MK	: 	58.7 	: 
A,GE1,ED0-2,Y16-24,M,PC,MT	72.5 	62.5 	36.7 
A,GE1,ED0-2,Y16-24,M,PC,NL	93.4 	92.0 	87.6 
A,GE1,ED0-2,Y16-24,M,PC,NO	96.7 	96.8 	87.8 
A,GE1,ED0-2,Y16-24,M,PC,PL	86.8 	85.6 	85.9 
A,GE1,ED0-2,Y16-24,M,PC,PT	91.6 	85.8 	80.6 
A,GE1,ED0-2,Y16-24,M,PC,RO	: 	52.1 	36.2 
A,GE1,ED0-2,Y16-24,M,PC,RS	: 	78.4 	76.7 
A,GE1,ED0-2,Y16-24,M,PC,SE	92.4 	88.3 	84.6 
A,GE1,ED0-2,Y16-24,M,PC,SI	94.0 	91.9 	73.5 
A,GE1,ED0-2,Y16-24,M,PC,SK	93.5 	88.5 	74.6 
A,GE1,ED0-2,Y16-24,M,PC,TR	: 	: 	33.6 
A,GE1,ED0-2,Y16-24,M,PC,UK	82.7 	79.9 u	: 
A,GE1,ED0-2,Y16-24,T,PC,AT	87.5 	88.5 	80.6 
A,GE1,ED0-2,Y16-24,T,PC,BE	88.2 	85.0 	77.3 
A,GE1,ED0-2,Y16-24,T,PC,BG	51.1 	47.1 	25.8 
A,GE1,ED0-2,Y16-24,T,PC,CH	: 	97.4 	96.0 
A,GE1,ED0-2,Y16-24,T,PC,CY	88.3 	82.9 	69.3 
A,GE1,ED0-2,Y16-24,T,PC,CZ	88.4 	90.8 	86.0 
A,GE1,ED0-2,Y16-24,T,PC,DE	94.3 	89.8 	: u
A,GE1,ED0-2,Y16-24,T,PC,DK	94.6 	96.7 	87.5 
A,GE1,ED0-2,Y16-24,T,PC,EE	88.8 	90.7 	83.8 
A,GE1,ED0-2,Y16-24,T,PC,EL	80.2 	72.6 	66.5 
A,GE1,ED0-2,Y16-24,T,PC,ES	86.7 	76.8 	80.4 
A,GE1,ED0-2,Y16-24,T,PC,EU27_2007	: 	82.1 	: 
A,GE1,ED0-2,Y16-24,T,PC,EU27_2020	: 	82.3 e	: 
A,GE1,ED0-2,Y16-24,T,PC,EU28	: 	82.1 	: 
A,GE1,ED0-2,Y16-24,T,PC,FI	93.7 	95.8 	76.4 
A,GE1,ED0-2,Y16-24,T,PC,FR	92.5 	91.0 	79.2 
A,GE1,ED0-2,Y16-24,T,PC,HR	: 	80.7 	80.1 
A,GE1,ED0-2,Y16-24,T,PC,HU	81.1 	73.5 	66.9 
A,GE1,ED0-2,Y16-24,T,PC,IE	83.0 	90.0 	81.3 
A,GE1,ED0-2,Y16-24,T,PC,IS	99.2 	97.1 	: 
A,GE1,ED0-2,Y16-24,T,PC,IT	84.8 	73.5 	65.3 
A,GE1,ED0-2,Y16-24,T,PC,LT	88.0 	90.9 	70.9 
A,GE1,ED0-2,Y16-24,T,PC,LU	94.3 	93.9 	89.2 
A,GE1,ED0-2,Y16-24,T,PC,LV	82.7 	86.0 	60.0 
A,GE1,ED0-2,Y16-24,T,PC,ME	: 	: 	54.3 
A,GE1,ED0-2,Y16-24,T,PC,MK	: 	44.7 	: 
A,GE1,ED0-2,Y16-24,T,PC,MT	72.3 	62.8 	39.7 
A,GE1,ED0-2,Y16-24,T,PC,NL	90.8 	92.1 	87.1 
A,GE1,ED0-2,Y16-24,T,PC,NO	95.8 	97.1 	89.1 
A,GE1,ED0-2,Y16-24,T,PC,PL	87.3 	86.3 	86.7 
A,GE1,ED0-2,Y16-24,T,PC,PT	88.8 	85.3 	82.2 
A,GE1,ED0-2,Y16-24,T,PC,RO	: 	46.4 	33.9 
A,GE1,ED0-2,Y16-24,T,PC,RS	: 	69.6 	73.7 
A,GE1,ED0-2,Y16-24,T,PC,SE	93.8 	91.8 	85.4 
A,GE1,ED0-2,Y16-24,T,PC,SI	93.5 	91.3 	74.3 
A,GE1,ED0-2,Y16-24,T,PC,SK	94.0 	86.7 	71.2 
A,GE1,ED0-2,Y16-24,T,PC,TR	: 	: 	31.0 
A,GE1,ED0-2,Y16-24,T,PC,UK	79.7 	72.0 	: 
A,GE1,ED0-2,Y16-29,F,PC,AT	77.5 	77.1 	78.9 
A,GE1,ED0-2,Y16-29,F,PC,BE	81.7 	78.2 	69.5 
A,GE1,ED0-2,Y16-29,F,PC,BG	39.8 	30.3 	22.9 
A,GE1,ED0-2,Y16-29,F,PC,CH	: 	95.5 	92.2 
A,GE1,ED0-2,Y16-29,F,PC,CY	82.0 	67.7 	51.8 
A,GE1,ED0-2,Y16-29,F,PC,CZ	86.3 	85.8 	84.6 
A,GE1,ED0-2,Y16-29,F,PC,DE	91.5 	90.4 	: u
A,GE1,ED0-2,Y16-29,F,PC,DK	91.2 	95.6 	84.6 
A,GE1,ED0-2,Y16-29,F,PC,EE	85.2 	90.2 	83.2 
A,GE1,ED0-2,Y16-29,F,PC,EL	69.1 	64.0 	57.3 
A,GE1,ED0-2,Y16-29,F,PC,ES	77.2 	73.0 	73.8 
A,GE1,ED0-2,Y16-29,F,PC,EU27_2007	: 	76.4 	: 
A,GE1,ED0-2,Y16-29,F,PC,EU27_2020	: 	76.9 e	: 
A,GE1,ED0-2,Y16-29,F,PC,EU28	: 	76.4 	: 
A,GE1,ED0-2,Y16-29,F,PC,FI	93.1 	96.7 	80.0 
A,GE1,ED0-2,Y16-29,F,PC,FR	85.0 	88.1 	77.6 
A,GE1,ED0-2,Y16-29,F,PC,HR	: 	74.5 	75.1 
A,GE1,ED0-2,Y16-29,F,PC,HU	74.5 	65.1 	55.6 
A,GE1,ED0-2,Y16-29,F,PC,IE	71.0 	85.5 	76.4 
A,GE1,ED0-2,Y16-29,F,PC,IS	99.5 	95.3 	: 
A,GE1,ED0-2,Y16-29,F,PC,IT	72.4 	65.4 	55.1 
A,GE1,ED0-2,Y16-29,F,PC,LT	81.6 	88.5 	67.6 
A,GE1,ED0-2,Y16-29,F,PC,LU	85.2 	87.5 	80.6 
A,GE1,ED0-2,Y16-29,F,PC,LV	74.3 	82.5 	68.2 
A,GE1,ED0-2,Y16-29,F,PC,ME	: 	: 	45.0 
A,GE1,ED0-2,Y16-29,F,PC,MK	: 	24.5 	: 
A,GE1,ED0-2,Y16-29,F,PC,MT	65.4 	54.8 	47.2 
A,GE1,ED0-2,Y16-29,F,PC,NL	86.4 	89.5 	84.1 
A,GE1,ED0-2,Y16-29,F,PC,NO	92.9 	95.5 	87.5 
A,GE1,ED0-2,Y16-29,F,PC,PL	82.3 	81.7 	85.0 
A,GE1,ED0-2,Y16-29,F,PC,PT	79.0 	78.1 	78.6 
A,GE1,ED0-2,Y16-29,F,PC,RO	: 	35.0 	27.4 
A,GE1,ED0-2,Y16-29,F,PC,RS	: 	53.8 	65.0 
A,GE1,ED0-2,Y16-29,F,PC,SE	94.1 	92.7 	80.7 
A,GE1,ED0-2,Y16-29,F,PC,SI	90.1 	90.1 	74.4 
A,GE1,ED0-2,Y16-29,F,PC,SK	92.8 	79.5 	62.9 
A,GE1,ED0-2,Y16-29,F,PC,TR	: 	: 	21.9 
A,GE1,ED0-2,Y16-29,F,PC,UK	72.1 	64.7 	: 
A,GE1,ED0-2,Y16-29,M,PC,AT	85.3 	85.5 	79.9 
A,GE1,ED0-2,Y16-29,M,PC,BE	88.6 	82.3 	72.9 
